number of agents,repetition,average utility of voted design,smax,smin,tforminmax,trun,time for 1 agent,number of created designs,number of iterations,Tadd,Tselect,max mutstep,maxshift
10,0,0.9908340118401859,19.84829822322876,0.8708496546050272,0.25964954200026114,0.0022339999995892867,7.4656250217231e-05,10,20,0.01,0.15,0.2,30
10,1,0.691064990539971,18.76451603049834,0.4666665075109663,0.2656060000008438,0.00320454100437928,8.052069970290176e-05,13,20,0.01,0.15,0.2,30
10,2,0.9342157674469469,25.6565150280718,0.9077868590558879,0.26236087500001304,0.002210541999374982,7.48811500670854e-05,10,20,0.01,0.15,0.2,30
10,3,0.8041985857945291,21.229081537906104,0.618712693384311,0.23773283399350476,0.0033081250003306195,8.109580048767384e-05,14,20,0.01,0.15,0.2,30
10,4,0.4758411913931836,24.433822261406043,0.4155063754586525,0.2710220000008121,0.0030233330035116524,7.647924903722014e-05,12,20,0.01,0.15,0.2,30
100,0,0.7846908121517601,18.081289351499066,0.6798897125202908,0.726791458997468,0.04227129199716728,8.668378530273912e-05,100,200,0.01,0.15,0.2,30
100,1,0.9192078601893567,18.260848489851018,0.7821477777428336,0.7177452089963481,0.06828050000331132,0.00019497940000292146,93,200,0.01,0.15,0.2,30
100,2,1.0010422619403274,17.947915203773697,0.9578086566447646,0.6649214999997639,0.05701083299936727,9.818831014854368e-05,84,200,0.01,0.15,0.2,30
100,3,0.844663777872652,18.123371453074682,0.7896208944725273,0.6099142499951995,0.05606716700276593,0.0001507858301192755,92,200,0.01,0.15,0.2,30
100,4,0.7499593165519519,18.687804595157502,0.6630696614878537,0.655483666996588,0.05357466699933866,0.00014092519973928574,96,200,0.01,0.15,0.2,30
1000,0,0.9105891624018791,18.23739426177809,0.7751389359858232,5.497079959000985,1.9273472909990232,0.00011769611109775723,918,2000,0.01,0.15,0.2,30
1000,1,1.0621232394443296,17.833450274032558,0.8362147372133224,5.664469791001466,1.9395387080003275,0.00011381394905401976,934,2000,0.01,0.15,0.2,30
1000,2,0.949667011151731,17.750516869872726,0.8160366469811894,5.5742847500005155,1.8807124579980155,0.00010583508559284383,914,2000,0.01,0.15,0.2,30
1000,3,1.0920286302268791,17.294249892969408,0.8603838896380056,5.508953415999713,1.911037916004716,0.00012088433294411515,922,2000,0.01,0.15,0.2,30
1000,4,0.9364848055963729,17.870919314379186,0.7907847622639442,5.310696166001435,1.885061291999591,0.00011457265855642618,904,2000,0.01,0.15,0.2,30
5000,0,3.5927802399064923,18.22092165335248,0.7987009584928112,27.665036082995357,41.3575030419961,0.00011995261190459132,4653,10000,0.01,0.15,0.2,30
5000,1,2.870391374026937,18.06792029398791,0.8098655409697175,27.272160291002365,40.77707229099906,0.00012680146131533547,4535,10000,0.01,0.15,0.2,30
5000,2,4.485407236955313,17.8223322502969,0.8415574751579081,26.700583874997392,41.81694983399939,0.00013495483495426015,4621,10000,0.01,0.15,0.2,30
5000,3,7.443492991816637,17.93806213405863,0.8167922101415602,27.804889084000024,42.89051154099434,0.0001241141161764972,4784,10000,0.01,0.15,0.2,30
5000,4,3.8827391773112168,17.961738458195764,0.8306773269620391,26.152918957996008,40.893063249997795,0.0001178018275713839,4568,10000,0.01,0.15,0.2,30
10000,0,18.219763694982397,18.221747965032684,0.8054516820835614,54.839360834004765,134.67318112499925,0.00010677606991957874,9500,20000,0.01,0.15,0.2,30
10000,1,17.761316621280052,18.24690623236403,0.8055428185132825,53.85827483399771,137.37841254199884,0.00010641501102727488,9601,20000,0.01,0.15,0.2,30
10000,2,17.199041379032685,17.86384109613271,0.8317645396491694,52.43880324999918,138.08511266700225,0.00010649465648712066,9769,20000,0.01,0.15,0.2,30
10000,3,17.811641363493546,17.984384923556757,0.832724973440284,54.11296649999713,137.08992704199773,0.00010662216045602691,9714,20000,0.01,0.15,0.2,30
10000,4,17.58503875311997,18.074603831076473,0.818197596861363,54.73618420899584,131.50251116699656,0.0001059857492968149,9466,20000,0.01,0.15,0.2,30
